Name,Latitude,Longitude,Alternate Names
Unity Sports Club,42.2862489,-71.0719149,"Unity Club, Unity Sports & Cultural Club"
Tech Boston Academy,42.2853412,-71.0758714,
Codman Square Library,42.2875434,-71.0708549,Codman Square Branch of the Boston Public Library
Autobody Shop,42.28841889,-71.07652723,Dechain Auto Service
Community Garden,42.2882093,-71.0760584,
Taste of Eden,42.2892235,-71.0728724,
Codman Academy,42.28981455,-71.07109831,Codman Academy Charter School
Codman Sq Health Center,42.28940497,-71.0720396,CS Health Center
Alex Market,42.29055873,-71.07272821,Alex Market & Liquor
Operation Peace,42.29000266,-71.07247792,
Cut to Fit,42.2899623,-71.0724993,
Elmhurst Park,42.2893863,-71.076426,
Norfolk Convenience,42.2881253,-71.0768911,
BPM,42.29050058,-71.07451333,Boston Project Ministries
Community Room,42.28997936,-71.07495017,
Emmanuel Daycare,42.29307093,-71.07475181,
Reed Auditorium,42.3077219,-71.0824131,William E. Reed Auditorium
BPM,42.2889736,-71.07630849,Boston Project Ministries
Boys and Girls Club,42.29413064,-71.08625626,Berkshire Partners Blue Hill Boys & Girls Club
Sportsmen Tennis Club,42.29273511,-71.08812786,Sportsmen's Tennis and Enrichment Center
Commuter Rail,42.29327477,-71.07832171,Talbot Ave Commuter Rail
Only One,42.2871286,-71.0786368,Only One Jamaican Restaurant
Love Field,42.2856748,-71.0736116,"Robert's Playground, Tech Boston Field"
Lee Academy,42.28666396,-71.07276596,"Lee Academy Pilot School, Lee Academy Charter School"
Oasis on Ballou,42.284933,-71.0829525,
Fathers Uplift,42.2906896,-71.0721581,
Daily Table,42.2958374,-71.0720398,Daily Table Grocery - Dorchester
Community Corner,42.29112748,-71.07469724,
Farmers Market,42.29068497,-71.0664694,Codman Square Farmers Market
Fresh Food Generation,42.2921893,-71.0792696,
Lee School,42.2920977,-71.0799369,Joseph Lee K-8 School
Perkins Community Center,42.292455,-71.080205,
Neighborhood Church of Elmhurst Park,42.28961193,-71.07692467,"Neighborhood Church of Dorchester, Mt. Sinai Baptist Church"
Thetford Park,42.28321894,-71.07793255,Thetford Evans Playground
Wesley Child Care,42.28484411,-71.08005628,Wesley Child Care Center
Peace Garden,42.288727,-71.075743,"Community Garden, Garden of Peace"